id,name,staticDataUrl,dynamicDataUrl,limitedAccess,uuid,latitude,longitude,city,country_code,province,region,mark,usage,accessPoints,capacity,contactPersons,minimumHeightInMeters,openingTimes,tariffs
374,"Dordsedwarsstraat P1",https://npropendata.rdw.nl/parkingdata/v2/static/6c46cec3-edf8-409f-9c29-b8921923eb28,,0,6c46cec3-edf8-409f-9c29-b8921923eb28,52.7774229084231,6.89713503260176,Emmen,nl,Drenthe,Noord-Nederland,onstreet,onstreet,0,,0,,0,1
375,"Bewonersvergunning maatwerk Prinses Beatrixlaan 4pp adres 1,2,3,4",https://npropendata.rdw.nl/parkingdata/v2/static/43cff240-c0d9-445c-8ed6-0081372dd168,,0,43cff240-c0d9-445c-8ed6-0081372dd168,52.3408101318988,4.96379584520134,Diemen,nl,Noord-Holland,Noordwest-Nederland,onstreet,onstreet,0,,0,,0,0
376,"Garage Museum Quarter",https://npropendata.rdw.nl/parkingdata/v2/static/dd2b3e90-3e2c-454d-98cc-de8ba3e18a32,,0,dd2b3e90-3e2c-454d-98cc-de8ba3e18a32,52.355703,4.885738,Amsterdam,nl,Noord-Holland,Noordwest-Nederland,average,garage,1,72,0,1.9,1,1
377,"City Parking",https://npropendata.rdw.nl/parkingdata/v2/static/0efb4324-c065-4097-8194-476cfe42b95c,https://npropendata.rdw.nl/parkingdata/v2/dynamic/0efb4324-c065-4097-8194-476cfe42b95c,1,0efb4324-c065-4097-8194-476cfe42b95c,52.0759277,4.30792,"Den Haag",nl,Zuid-Holland,Zuidwest-Nederland,average,garage,1,223,0,195.0,1,0
378,"Straatparkeren Radartoren (Sluis)",https://npropendata.rdw.nl/parkingdata/v2/static/dc47ab79-0f1b-4b78-a70b-813439b695a9,,0,dc47ab79-0f1b-4b78-a70b-813439b695a9,51.3904763714019,3.45377129266861,Nieuwvliet,nl,Zeeland,Zuidwest-Nederland,onstreet,onstreet,0,,0,,0,1
379,"P+R Hoorn Kersenboogerd (Hoorn)",https://npropendata.rdw.nl/parkingdata/v2/static/22415eee-578e-4ddc-abaa-c4643be7da63,,0,22415eee-578e-4ddc-abaa-c4643be7da63,52.653711,5.085162,Hoorn,nl,Noord-Holland,Noordwest-Nederland,average,"park and ride",1,64,0,0.0,1,1
380,"Normandiaplein (maaiveld)",https://npropendata.rdw.nl/parkingdata/v2/static/cf5075e0-97c1-4fe7-8c44-4b0b9ec67402,,0,cf5075e0-97c1-4fe7-8c44-4b0b9ec67402,53.035181536496,5.66631263345113,"Súdwest-Fryslân",nl,"Fryslân",Noord-Nederland,onstreet,onstreet,0,,0,,0,1
381,"Louis v.d. Maesenstr (parkeerplaats naast, voor en bij AH)",https://npropendata.rdw.nl/parkingdata/v2/static/b4856e1e-f65b-4e00-973f-637e785a755b,,0,b4856e1e-f65b-4e00-973f-637e785a755b,50.865707863482,5.83376098509063,"Valkenburg aan de Geul",nl,Limburg,Zuid-Nederland,onstreet,onstreet,0,,0,,0,1
382,"Blauwe zone 120 min",https://npropendata.rdw.nl/parkingdata/v2/static/ee563d6e-e001-4555-9ade-301a937b953d,,0,ee563d6e-e001-4555-9ade-301a937b953d,50.8896414624028,5.97771260909571,Heerlen,nl,Limburg,Zuid-Nederland,onstreet,onstreet,0,,0,,0,0
383,"Garage De Overtoom (Papendrecht)",https://npropendata.rdw.nl/parkingdata/v2/static/9c5eda11-5fba-4615-82a8-334e66042ca7,,0,9c5eda11-5fba-4615-82a8-334e66042ca7,,,,,,,bad,garage,0,,0,,0,0
384,"Parpeergarage Stadhuisplein",https://npropendata.rdw.nl/parkingdata/v2/static/fe644297-9f7e-4a47-9ed6-e0804788a523,http://opd.it-t.nl/Data/parkingdata/v1/amersfoort/dynamic/fe644297-9f7e-4a47-9ed6-e0804788a523.json,0,fe644297-9f7e-4a47-9ed6-e0804788a523,52.156266,5.385325,Amersfoort,nl,Utrecht,Noordwest-Nederland,good,garage,1,177,1,1.8,1,1
385,"Betaald parkeren centrum 1",https://npropendata.rdw.nl/parkingdata/v2/static/7ba9ae6a-5f89-45f5-8047-193befc6a36b,,0,7ba9ae6a-5f89-45f5-8047-193befc6a36b,,,,,,,onstreet,onstreet,0,,0,,0,1
386,"BZ Prins Bernhardlaan/Emmaplein",https://npropendata.rdw.nl/parkingdata/v2/static/26ff1ea7-57a6-4242-885a-335891650be0,,0,26ff1ea7-57a6-4242-885a-335891650be0,52.7086635145961,5.28892620846041,Enkhuizen,nl,Noord-Holland,Noordwest-Nederland,onstreet,onstreet,0,,0,,0,1
387,"P+R Hoofddorp (Haarlemmermeer)",https://npropendata.rdw.nl/parkingdata/v2/static/f5fc36b9-1f4b-4e31-9214-6ec6bcfb263b,,0,f5fc36b9-1f4b-4e31-9214-6ec6bcfb263b,52.292153,4.702187,Haarlemmermeer,nl,Noord-Holland,Noordwest-Nederland,average,"park and ride",1,408,0,2.1,1,1
388,"Zone 600",https://npropendata.rdw.nl/parkingdata/v2/static/8058f617-8cfd-47a5-9e0d-5b4b70f80528,,0,8058f617-8cfd-47a5-9e0d-5b4b70f80528,51.9187361722986,4.51104914875135,Rotterdam,nl,Zuid-Holland,Zuidwest-Nederland,onstreet,onstreet,0,,0,,0,1
389,"Garage Oranjekwartier (Amsterdam)",https://npropendata.rdw.nl/parkingdata/v2/static/6fd23205-2ad4-4e9b-839e-d2fd380c628c,,0,6fd23205-2ad4-4e9b-839e-d2fd380c628c,52.353343,4.839617,Amsterdam,nl,Noord-Holland,Noordwest-Nederland,average,garage,1,472,0,2.05,1,1
390,"Centrum-Oost A2",https://npropendata.rdw.nl/parkingdata/v2/static/33368037-ff81-4a47-864f-05182b1ebdd7,,0,33368037-ff81-4a47-864f-05182b1ebdd7,50.8491573431993,5.69993390555059,Maastricht,nl,Limburg,Zuid-Nederland,onstreet,onstreet,0,,0,,0,0
391,"Transvaal Groothandelsmarkt  Marktregeling onbeperkt",https://npropendata.rdw.nl/parkingdata/v2/static/d634bce3-51e0-4c0b-861c-92a55aaa3e0d,,0,d634bce3-51e0-4c0b-861c-92a55aaa3e0d,52.0641590352814,4.29761268516482,"Den Haag",nl,Zuid-Holland,Zuidwest-Nederland,onstreet,onstreet,0,,0,,0,1
392,"Zone A",https://npropendata.rdw.nl/parkingdata/v2/static/f0830e97-f8ba-4a8e-883f-248316df86d5,,0,f0830e97-f8ba-4a8e-883f-248316df86d5,52.1594093003999,4.49266459972822,Leiden,nl,Zuid-Holland,Zuidwest-Nederland,onstreet,onstreet,0,,0,,0,1
393,"Straatparkeren Veemarktplein (Sneek)",https://npropendata.rdw.nl/parkingdata/v2/static/2387e37c-98f5-4041-9e9d-7bb0e2244665,,0,2387e37c-98f5-4041-9e9d-7bb0e2244665,,,,,,,onstreet,onstreet,0,,0,,0,0
394,Tiendstraat,https://npropendata.rdw.nl/parkingdata/v2/static/5746c34f-868c-4222-a3fc-1817cdd0c203,,0,5746c34f-868c-4222-a3fc-1817cdd0c203,51.477982273277,5.66299993075121,Helmond,nl,Noord-Brabant,Zuid-Nederland,onstreet,onstreet,0,,0,,0,1
395,"Straatparkeren Centrum (Sneek)",https://npropendata.rdw.nl/parkingdata/v2/static/06c668b5-e289-42e2-9741-6ded0336d3ce,,0,06c668b5-e289-42e2-9741-6ded0336d3ce,,,,,,,onstreet,onstreet,0,,0,,0,0
396,"Centrum Oost A2",https://npropendata.rdw.nl/parkingdata/v2/static/76b77df7-0274-4238-92be-1828e7219de8,,0,76b77df7-0274-4238-92be-1828e7219de8,50.8509415059101,5.70336062836386,Maastricht,nl,Limburg,Zuid-Nederland,onstreet,onstreet,0,,0,,0,0
397,Lasonder,https://npropendata.rdw.nl/parkingdata/v2/static/9585791a-ffa4-4377-98ea-be214feccc95,,0,9585791a-ffa4-4377-98ea-be214feccc95,,,,,,,onstreet,onstreet,0,,1,,0,1
398,"Kern I",https://npropendata.rdw.nl/parkingdata/v2/static/34e6bd8b-6ec0-4275-aef9-8a2daab74eaa,,0,34e6bd8b-6ec0-4275-aef9-8a2daab74eaa,51.6886678961793,5.06660885836306,Waalwijk,nl,Noord-Brabant,Zuid-Nederland,onstreet,onstreet,0,,0,,0,1
399,"1,00/ 12 uur",https://npropendata.rdw.nl/parkingdata/v2/static/79b79f2b-30ea-4b8b-a82a-8c7863908eb7,,0,79b79f2b-30ea-4b8b-a82a-8c7863908eb7,50.8861492216757,5.96577218103765,Heerlen,nl,Limburg,Zuid-Nederland,onstreet,onstreet,0,,0,,0,1
400,"Straatparkeren Centrum (Bolsward)",https://npropendata.rdw.nl/parkingdata/v2/static/3deb7dfd-9901-4f47-a10d-2d4cda5bcfd8,,0,3deb7dfd-9901-4f47-a10d-2d4cda5bcfd8,,,,,,,onstreet,onstreet,0,,0,,0,0
401,"P+R Station Hengelo",https://npropendata.rdw.nl/parkingdata/v2/static/5b39fcfe-f77b-43f4-baa4-811c2315fbb1,https://npropendata.rdw.nl/parkingdata/v2/dynamic/5b39fcfe-f77b-43f4-baa4-811c2315fbb1,1,5b39fcfe-f77b-43f4-baa4-811c2315fbb1,52.2611465,6.793431,Hengelo,nl,Overijssel,Oost-Nederland,average,garage,1,270,0,205.0,1,0
