id,name,staticDataUrl,dynamicDataUrl,limitedAccess,uuid,latitude,longitude,city,country_code,province,region,mark,usage,accessPoints,capacity,contactPersons,minimumHeightInMeters,openingTimes,tariffs
1,"Binnenstad Diepenring 1",https://npropendata.rdw.nl/parkingdata/v2/static/dfa45ccc-8cda-4282-a2c4-8278a1b1bc03,,0,dfa45ccc-8cda-4282-a2c4-8278a1b1bc03,53.2170387102436,6.56752115128845,Groningen,nl,Groningen,Noord-Nederland,onstreet,onstreet,0,,1,,0,1
2,"Carpool Joure A7/A6 (Joure)",https://npropendata.rdw.nl/parkingdata/v2/static/e217363a-31a1-48e2-bd3b-956752d495be,,0,e217363a-31a1-48e2-bd3b-956752d495be,52.959173,5.811899,"De Fryske Marren",nl,"Fryslân",Noord-Nederland,average,carpool,1,105,0,0.0,1,1
3,"Spoorlaan langsparkeren",https://npropendata.rdw.nl/parkingdata/v2/static/11d68ee8-7a4b-48c2-93c8-80ffe0c80d46,,0,11d68ee8-7a4b-48c2-93c8-80ffe0c80d46,50.8702389573924,5.82973990531199,"Valkenburg aan de Geul",nl,Limburg,Zuid-Nederland,onstreet,onstreet,0,,0,,0,1
4,"Garage Scheepjeshof (Veenendaal)",https://npropendata.rdw.nl/parkingdata/v2/static/0cbc7e9b-71b6-456a-bcc6-1c95f7297c29,,0,0cbc7e9b-71b6-456a-bcc6-1c95f7297c29,,,,,,,bad,garage,0,,0,,0,1
5,"P+R, Leeuwenveldseweg, Weesp (Weesp)",https://npropendata.rdw.nl/parkingdata/v2/static/2689d021-fb4b-4f02-8143-fd97339719a3,,0,2689d021-fb4b-4f02-8143-fd97339719a3,,,,,,,bad,"park and ride",0,,0,,0,1
6,Nobelaerstraat,https://npropendata.rdw.nl/parkingdata/v2/static/cbd6f093-564c-4d6b-88e0-78bea05b9189,,0,cbd6f093-564c-4d6b-88e0-78bea05b9189,52.0547459219379,4.33387113484094,Rijswijk,nl,Zuid-Holland,Zuidwest-Nederland,onstreet,onstreet,0,,0,,0,1
7,"WP60C Westerpark 1.3 Witteneiland",https://npropendata.rdw.nl/parkingdata/v2/static/e9f57747-c1e6-47df-ba7f-e4df9651daaf,,0,e9f57747-c1e6-47df-ba7f-e4df9651daaf,52.3830306629109,4.87864835066999,Amsterdam,nl,Noord-Holland,Noordwest-Nederland,onstreet,onstreet,0,,0,,0,0
8,Gasthuisstraat,https://npropendata.rdw.nl/parkingdata/v2/static/fb2531ea-0d2b-41d2-9481-baedcf3257a0,,0,fb2531ea-0d2b-41d2-9481-baedcf3257a0,52.3113111845149,6.92889973177717,Oldenzaal,nl,Overijssel,Oost-Nederland,onstreet,onstreet,0,,1,,0,1
9,"Garage Middenweg (Heerhugowaard)",https://npropendata.rdw.nl/parkingdata/v2/static/c2bdc402-ecf6-4732-97ab-cfd8abb65a33,,0,c2bdc402-ecf6-4732-97ab-cfd8abb65a33,52.661951,4.830819,Heerhugowaard,nl,Noord-Holland,Noordwest-Nederland,average,garage,1,551,0,2.1,1,1
10,"P+R Station Gilze-Rijen (Rijen)",https://npropendata.rdw.nl/parkingdata/v2/static/ceb3916b-35b1-4079-bc49-648c0dd16ebf,,0,ceb3916b-35b1-4079-bc49-648c0dd16ebf,51.583859,4.926621,"Gilze en Rijen",nl,Noord-Brabant,Zuid-Nederland,average,"park and ride",1,182,0,0.0,1,1
11,"vergunningzone 4 centrum Almere Stad",https://npropendata.rdw.nl/parkingdata/v2/static/5175f0c1-06db-4abf-8c87-ab697856d6bd,,0,5175f0c1-06db-4abf-8c87-ab697856d6bd,52.3700658012035,5.22313693294218,Almere,nl,Flevoland,Noordwest-Nederland,onstreet,onstreet,0,,1,,0,0
12,"P+R Station Leiden Lammenschans (Leiden)",https://npropendata.rdw.nl/parkingdata/v2/static/7395d1c9-ef8c-4c55-bdbb-59c393c54b7f,,0,7395d1c9-ef8c-4c55-bdbb-59c393c54b7f,52.147349,4.49256,Leiden,nl,Zuid-Holland,Zuidwest-Nederland,good,"park and ride",1,36,1,0.0,1,1
13,Euroborg,https://npropendata.rdw.nl/parkingdata/v2/static/35739299-b9b4-4b16-b4fe-0d789d373aae,,1,35739299-b9b4-4b16-b4fe-0d789d373aae,53.2070541,6.592044,Groningen,nl,Groningen,Noord-Nederland,average,garage,1,2060,0,190.0,1,0
14,"Zone B1",https://npropendata.rdw.nl/parkingdata/v2/static/ded2f0da-287a-4763-b16b-6e30799f6820,,0,ded2f0da-287a-4763-b16b-6e30799f6820,52.1582599915189,4.50216086968674,Leiden,nl,Zuid-Holland,Zuidwest-Nederland,onstreet,onstreet,0,,0,,0,1
15,"P+R van Salmstraat",https://npropendata.rdw.nl/parkingdata/v2/static/77dae242-8749-4351-8b2f-348df25f4305,https://npropendata.rdw.nl/parkingdata/v2/dynamic/77dae242-8749-4351-8b2f-348df25f4305,1,77dae242-8749-4351-8b2f-348df25f4305,51.5831223,5.319014,Boxtel,nl,Noord-Brabant,Zuid-Nederland,bad,,1,,0,,1,0
16,"Parkeerterrein Walburgpassage (Weert)",https://npropendata.rdw.nl/parkingdata/v2/static/bf7ceb97-23f8-4762-bf47-22993438fd11,,0,bf7ceb97-23f8-4762-bf47-22993438fd11,51.252098,5.707907,Weert,nl,Limburg,Zuid-Nederland,average,terrain,1,57,0,0.0,1,1
17,"De Griend",https://npropendata.rdw.nl/parkingdata/v2/static/1b8732fc-977e-4b60-ba83-9a77e92f6a74,https://npropendata.rdw.nl/parkingdata/v2/dynamic/1b8732fc-977e-4b60-ba83-9a77e92f6a74,1,1b8732fc-977e-4b60-ba83-9a77e92f6a74,50.8557968,5.698578,Maastricht,nl,Limburg,Zuid-Nederland,average,garage,1,365,0,190.0,1,0
18,"Gebiedscode BoschTE tbv mobiel parkeren",https://npropendata.rdw.nl/parkingdata/v2/static/e0065d13-b9b6-456c-8c81-f0a2b4767984,,0,e0065d13-b9b6-456c-8c81-f0a2b4767984,50.857748248724,5.7056741492503,Maastricht,nl,Limburg,Zuid-Nederland,onstreet,onstreet,0,,0,,0,1
19,P-Hoeksterend,https://npropendata.rdw.nl/parkingdata/v2/static/a03c3613-6fed-4659-906f-17843c227622,http://opendata.technolution.nl/opendata/parkingdata/v1/dynamic/a03c3613-6fed-4659-906f-17843c227622,0,a03c3613-6fed-4659-906f-17843c227622,53.205689,5.802397,Leeuwarden,nl,"Fryslân",Noord-Nederland,good,garage,1,390,1,2.1,1,1
20,"Parkeerterrein Klein Amerika",https://npropendata.rdw.nl/parkingdata/v2/static/d99efb55-1ac5-44cb-8d87-eff9f2f03309,,0,d99efb55-1ac5-44cb-8d87-eff9f2f03309,52.011833,4.716268,"Kort Haarlem",nl,Zuid-Holland,Zuidwest-Nederland,onstreet,onstreet,1,365,1,0.0,1,1
21,"P+R Station Diemen-Zuid (Diemen)",https://npropendata.rdw.nl/parkingdata/v2/static/92b4cc10-9da4-4c39-9049-502621412dea,,0,92b4cc10-9da4-4c39-9049-502621412dea,,,,,,,bad,"park and ride",0,,0,,0,1
22,Benoordenhout,https://npropendata.rdw.nl/parkingdata/v2/static/e9d25af2-8f36-409a-bd2a-f87108c86f27,,0,e9d25af2-8f36-409a-bd2a-f87108c86f27,,,,,,,onstreet,onstreet,0,,0,,0,0
23,"P+R Station Usquert (Usquert)",https://npropendata.rdw.nl/parkingdata/v2/static/1550ac61-ab1e-4825-b4cc-2519f0b6e282,,0,1550ac61-ab1e-4825-b4cc-2519f0b6e282,53.4012,6.609809,Eemsmond,nl,Groningen,Noord-Nederland,average,"park and ride",1,5,0,0.0,1,1
24,Marktstraat,https://npropendata.rdw.nl/parkingdata/v2/static/486d389d-d1b6-4378-abdd-e09234259e5c,,0,486d389d-d1b6-4378-abdd-e09234259e5c,51.4815581037616,5.65776308155511,Helmond,nl,Noord-Brabant,Zuid-Nederland,onstreet,onstreet,0,,0,,0,1
25,Bonnefantenmuseum,https://npropendata.rdw.nl/parkingdata/v2/static/87907bba-5107-4a9e-a52f-fb18630330db,https://npropendata.rdw.nl/parkingdata/v2/dynamic/87907bba-5107-4a9e-a52f-fb18630330db,1,87907bba-5107-4a9e-a52f-fb18630330db,50.84077,5.702516,Maastricht,nl,Limburg,Zuid-Nederland,average,garage,1,285,0,190.0,1,0
26,"Parkeerdek AMC P1 (Amsterdam)",https://npropendata.rdw.nl/parkingdata/v2/static/caa78d3b-864c-43fc-8cfc-4bc46b12e889,,0,caa78d3b-864c-43fc-8cfc-4bc46b12e889,52.296086,4.957438,Amsterdam,nl,Noord-Holland,Noordwest-Nederland,average,terrain,1,,0,0.0,1,1
27,"T12C ma-za 09-21",https://npropendata.rdw.nl/parkingdata/v2/static/80e05b08-5556-4c06-a8e1-91ec03545ea5,,0,80e05b08-5556-4c06-a8e1-91ec03545ea5,52.3495382349027,4.82911643818445,Amsterdam,nl,Noord-Holland,Noordwest-Nederland,onstreet,onstreet,0,,0,,0,1
28,"Parkeerterrein Dorpsstraat",https://npropendata.rdw.nl/parkingdata/v2/static/0da58c29-4364-42fd-ac2a-8ceb2fac32d7,,0,0da58c29-4364-42fd-ac2a-8ceb2fac32d7,53.0959907056142,4.76409479706626,Texel,nl,Noord-Holland,Noordwest-Nederland,onstreet,onstreet,0,,0,,0,1
29,Parallelweg,https://npropendata.rdw.nl/parkingdata/v2/static/d83b07b6-f5c3-4b86-8cad-d62f938ee520,,0,d83b07b6-f5c3-4b86-8cad-d62f938ee520,52.2074740830446,5.96927341313717,Apeldoorn,nl,Gelderland,Oost-Nederland,onstreet,onstreet,0,,1,0.0,0,1
30,Stadskantoor,https://npropendata.rdw.nl/parkingdata/v2/static/fea35517-43e5-4087-a724-e8b5fb6d9876,,0,fea35517-43e5-4087-a724-e8b5fb6d9876,51.4765031043107,5.6586393974605,Helmond,nl,Noord-Brabant,Zuid-Nederland,onstreet,onstreet,0,,0,,0,1
31,"Schil Vaartweg",https://npropendata.rdw.nl/parkingdata/v2/static/bba526b8-3ff3-4592-a092-e76765e26c11,,0,bba526b8-3ff3-4592-a092-e76765e26c11,52.2229837873468,5.16921962014379,Hilversum,nl,Noord-Holland,Noordwest-Nederland,onstreet,onstreet,0,,0,,0,1
32,"Bedrijfsvergunning vergunningengebied Alfred Nobel en Pater P 12-18",https://npropendata.rdw.nl/parkingdata/v2/static/d4f12eb0-64ac-47d4-b266-087280da29f4,,0,d4f12eb0-64ac-47d4-b266-087280da29f4,52.3436023351827,4.96331868472114,Diemen,nl,Noord-Holland,Noordwest-Nederland,onstreet,onstreet,0,,0,,0,0
33,Hellingbaan,https://npropendata.rdw.nl/parkingdata/v2/static/7b789cd0-4e3f-4cd9-a4e4-0f8adde98f56,,0,7b789cd0-4e3f-4cd9-a4e4-0f8adde98f56,51.4449552931993,3.57423750571171,Vlissingen,nl,Zeeland,Zuidwest-Nederland,onstreet,onstreet,0,,0,,0,1
34,Leyenburg,https://npropendata.rdw.nl/parkingdata/v2/static/9f18c484-a1f5-4c27-8e3c-c3d3624dd2d5,,0,9f18c484-a1f5-4c27-8e3c-c3d3624dd2d5,52.0594894486097,4.27155707770594,"Den Haag",nl,Zuid-Holland,Zuidwest-Nederland,onstreet,onstreet,0,,0,,0,1
35,"Noord West bewoners",https://npropendata.rdw.nl/parkingdata/v2/static/eefe157e-30c9-4108-9889-d6bad140a0e8,,0,eefe157e-30c9-4108-9889-d6bad140a0e8,51.5865176225948,4.65487109709625,Etten-Leur,nl,Noord-Brabant,Zuid-Nederland,onstreet,onstreet,0,,0,,0,0
36,"Vale Hen",https://npropendata.rdw.nl/parkingdata/v2/static/b231ef0c-cf9e-40a7-87d8-5c3dfaf97871,,0,b231ef0c-cf9e-40a7-87d8-5c3dfaf97871,52.6428396831251,5.05221724110356,Hoorn,nl,Noord-Holland,Noordwest-Nederland,onstreet,onstreet,0,,0,,0,1
37,"Stationsplein (Zwolle)",https://npropendata.rdw.nl/parkingdata/v2/static/7de1cf9b-d789-4778-8314-6104d3347413,,0,7de1cf9b-d789-4778-8314-6104d3347413,52.5055938678876,6.09163454586045,Zwolle,nl,Overijssel,Oost-Nederland,onstreet,onstreet,0,,1,,0,1
38,"Garage Amsterdamstraat (Zoetermeer)",https://npropendata.rdw.nl/parkingdata/v2/static/0ef495a4-fec5-4777-a8b3-e9155a6ca547,,0,0ef495a4-fec5-4777-a8b3-e9155a6ca547,52.061053,4.491309,Zoetermeer,nl,Zuid-Holland,Zuidwest-Nederland,average,garage,1,495,0,1.9,1,1
39,Groenmarkt,https://npropendata.rdw.nl/parkingdata/v2/static/04439bd7-654b-4491-8ecc-27a86a3af846,,0,04439bd7-654b-4491-8ecc-27a86a3af846,52.1414712505821,6.19425060880143,Zutphen,nl,Gelderland,Oost-Nederland,onstreet,onstreet,0,,0,,0,1
40,Sumatrastraat,https://npropendata.rdw.nl/parkingdata/v2/static/9a4ee3d9-377f-4ac0-99ab-0163bf08c0b3,,0,9a4ee3d9-377f-4ac0-99ab-0163bf08c0b3,52.2670482861368,6.7850762040371,Hengelo,nl,Overijssel,Oost-Nederland,onstreet,onstreet,0,,1,,0,1
41,"Straatparkeren Irenebrigadeplein (Wageningen)",https://npropendata.rdw.nl/parkingdata/v2/static/66fb25a7-595b-49ba-974b-a9d7f6710894,,0,66fb25a7-595b-49ba-974b-a9d7f6710894,51.9678872845526,5.668180983,Wageningen,nl,Gelderland,Oost-Nederland,onstreet,onstreet,0,,0,,0,1
42,"Garage Van Heek (Enschede)",https://npropendata.rdw.nl/parkingdata/v2/static/1a39c8e9-91f9-40d9-bdf3-ce1f6e438a14,http://opd.it-t.nl/Data/parkingdata/v1/twente/dynamic/1a39c8e9-91f9-40d9-bdf3-ce1f6e438a14.json,0,1a39c8e9-91f9-40d9-bdf3-ce1f6e438a14,52.216916,6.901198,Enschede,nl,Overijssel,Oost-Nederland,good,garage,1,1700,1,2.1,1,1
43,"Vergunningparkeren Rayon B (Zeist)",https://npropendata.rdw.nl/parkingdata/v2/static/995d7ab8-0467-4baa-9fc3-d3c2c5dfa2c9,,0,995d7ab8-0467-4baa-9fc3-d3c2c5dfa2c9,52.0850727703992,5.24585272418887,Zeist,nl,Utrecht,Noordwest-Nederland,onstreet,onstreet,0,,0,,0,1
44,"P+R Station (Breda)",https://npropendata.rdw.nl/parkingdata/v2/static/037b8e3b-4b51-459c-81c9-282a6b71702c,,0,037b8e3b-4b51-459c-81c9-282a6b71702c,51.595953,4.778673,Breda,nl,Noord-Brabant,Zuid-Nederland,average,"park and ride",1,450,0,2.1,1,1
45,"Plein 13/de Kaai",https://npropendata.rdw.nl/parkingdata/v2/static/508d38e5-c37d-4262-9d84-131731accfc4,,0,508d38e5-c37d-4262-9d84-131731accfc4,51.4976681324408,4.26919935800902,"Bergen op Zoom",nl,Noord-Brabant,Zuid-Nederland,onstreet,onstreet,0,,0,,0,1
46,"Singelzone Arsenaalpad Gasthuisvelden",https://npropendata.rdw.nl/parkingdata/v2/static/58b83d6e-ae2a-411e-9151-23a1a469d633,,0,58b83d6e-ae2a-411e-9151-23a1a469d633,51.5841615914547,4.76766526934527,Breda,nl,Noord-Brabant,Zuid-Nederland,onstreet,onstreet,0,,0,,0,1
47,Schildersbuurt,https://npropendata.rdw.nl/parkingdata/v2/static/4553b942-1a9d-4e2f-a9be-5a720f767f4a,,0,4553b942-1a9d-4e2f-a9be-5a720f767f4a,53.2166934022651,6.54949100937004,Groningen,nl,Groningen,Noord-Nederland,onstreet,onstreet,0,,1,,0,1
48,"Carpool Coevorden-Oost (Coevorden)",https://npropendata.rdw.nl/parkingdata/v2/static/e6ccab18-ea96-4bb6-ab11-c524913c2e45,,0,e6ccab18-ea96-4bb6-ab11-c524913c2e45,52.658006,6.757116,Coevorden,nl,Drenthe,Noord-Nederland,average,carpool,1,7,0,0.0,1,1
49,"Repel vergunning",https://npropendata.rdw.nl/parkingdata/v2/static/6c0dbf6e-97be-4eee-bdcc-238c7e82e8c4,,0,6c0dbf6e-97be-4eee-bdcc-238c7e82e8c4,51.4209949654592,5.40297913932335,Veldhoven,nl,Noord-Brabant,Zuid-Nederland,onstreet,onstreet,0,,0,,0,1
50,"CE01_U02 UVG Halvemaansbrug CE02enCE03 toegestaan",https://npropendata.rdw.nl/parkingdata/v2/static/3dce19c3-5029-40bd-a7dd-79825bce36af,,0,3dce19c3-5029-40bd-a7dd-79825bce36af,52.3673135164973,4.89587403726956,Amsterdam,nl,Noord-Holland,Noordwest-Nederland,onstreet,onstreet,0,,0,,0,0
51,"Parkeergarage Noordereiland - Dek (Zwolle)Parkeergarage Noordereiland (Zwolle)",https://npropendata.rdw.nl/parkingdata/v2/static/ff27bae8-ce05-40c6-8422-03da3bd7d9e1,http://opd.it-t.nl/Data/parkingdata/v1/zwolle/dynamic/ff27bae8-ce05-40c6-8422-03da3bd7d9e1.json,0,ff27bae8-ce05-40c6-8422-03da3bd7d9e1,52.515666,6.095621,Zwolle,nl,Overijssel,Oost-Nederland,good,garage,1,330,1,1.9,1,1
52,"Zone 30",https://npropendata.rdw.nl/parkingdata/v2/static/02f14a57-e135-4a4b-a152-81b2188d35a0,,0,02f14a57-e135-4a4b-a152-81b2188d35a0,51.921050087167,4.47531024574401,Rotterdam,nl,Zuid-Holland,Zuidwest-Nederland,onstreet,onstreet,0,,0,,0,1
53,"Carpool Zevenaar Tatelaar A12",https://npropendata.rdw.nl/parkingdata/v2/static/e9181cb3-d5ae-42d7-84ca-b7d712bdd8a0,,0,e9181cb3-d5ae-42d7-84ca-b7d712bdd8a0,,,,,,,bad,carpool,0,,0,0.0,0,1
54,"Parkeerterrein A. Reddingiusstraat (Deurne)",https://npropendata.rdw.nl/parkingdata/v2/static/c48ad132-696b-493a-a75c-b8ecf8decebe,,0,c48ad132-696b-493a-a75c-b8ecf8decebe,51.4629606172862,5.7922861646157,Deurne,nl,Noord-Brabant,Zuid-Nederland,onstreet,onstreet,0,,0,,0,1
55,"T16B_U08 10c Sierplein/Van Oleffenstraat",https://npropendata.rdw.nl/parkingdata/v2/static/68caafe9-32a4-4bed-a34c-105a84321d82,,0,68caafe9-32a4-4bed-a34c-105a84321d82,52.3553703294793,4.82631866503327,Amsterdam,nl,Noord-Holland,Noordwest-Nederland,onstreet,onstreet,0,,0,,0,1
56,"Blauwe zone",https://npropendata.rdw.nl/parkingdata/v2/static/3380b7ac-18c0-4b8f-b292-6a3ddcd987b3,,0,3380b7ac-18c0-4b8f-b292-6a3ddcd987b3,52.3036208085175,6.7567665573936,Borne,nl,Overijssel,Oost-Nederland,onstreet,onstreet,0,,1,,0,1
57,"Centrum West",https://npropendata.rdw.nl/parkingdata/v2/static/39dea8ff-a276-4bd9-b1fa-7d081d8dbed9,,0,39dea8ff-a276-4bd9-b1fa-7d081d8dbed9,51.8863239041303,5.43136625364809,Tiel,nl,Gelderland,Oost-Nederland,onstreet,onstreet,0,,0,,0,1
58,"Centrum Noord",https://npropendata.rdw.nl/parkingdata/v2/static/c2ec78eb-d250-4e04-9d66-0b926787f69b,,0,c2ec78eb-d250-4e04-9d66-0b926787f69b,51.8873001677419,5.43508807080744,Tiel,nl,Gelderland,Oost-Nederland,onstreet,onstreet,0,,0,,0,1
59,"Straatparkeren Gebied D2 (Delft)",https://npropendata.rdw.nl/parkingdata/v2/static/0d0d8245-9480-4cf6-af85-d0e655fb2fac,,0,0d0d8245-9480-4cf6-af85-d0e655fb2fac,,,,,,,onstreet,onstreet,0,,0,,0,0
60,"Heesterbuurt Noord",https://npropendata.rdw.nl/parkingdata/v2/static/b3b77d5b-20e4-48b7-929f-303f9d8ec1b9,,0,b3b77d5b-20e4-48b7-929f-303f9d8ec1b9,52.0706412370884,4.26836370593126,"Den Haag",nl,Zuid-Holland,Zuidwest-Nederland,onstreet,onstreet,0,,0,,0,1
61,"Garage Markenhoven (Amsterdam)",https://npropendata.rdw.nl/parkingdata/v2/static/16d1d783-3a53-4b62-9a69-a44993a10211,http://opd.it-t.nl/data/parkingdata/v1/amsterdam/dynamic/900000011_parkinglocation.json,0,16d1d783-3a53-4b62-9a69-a44993a10211,52.369774,4.90879,Amsterdam,nl,Noord-Holland,Noordwest-Nederland,average,garage,1,352,0,2.0,1,1
62,"P+R Schollevaar (Capelle aan den IJssel)",https://npropendata.rdw.nl/parkingdata/v2/static/de0e472c-f97a-4213-954c-713eb13266e0,,0,de0e472c-f97a-4213-954c-713eb13266e0,51.954487,4.582416,"Capelle aan den IJssel",nl,Zuid-Holland,Zuidwest-Nederland,average,"park and ride",1,203,0,0.0,1,1
63,"P+R Roemer Visscherplein",https://npropendata.rdw.nl/parkingdata/v2/static/0599015c-5cb5-40a1-ba24-e9fb157b64d4,https://npropendata.rdw.nl/parkingdata/v2/dynamic/0599015c-5cb5-40a1-ba24-e9fb157b64d4,1,0599015c-5cb5-40a1-ba24-e9fb157b64d4,52.3595848,4.605644,Heemstede,nl,Noord-Holland,Noordwest-Nederland,average,garage,1,147,0,210.0,1,0
64,"Gebiedscode Scharn tbv mobiel parkeren",https://npropendata.rdw.nl/parkingdata/v2/static/e376ed66-fd35-44f4-af6b-0d0c8a2d82fb,,0,e376ed66-fd35-44f4-af6b-0d0c8a2d82fb,50.8469885519802,5.71620252739872,Maastricht,nl,Limburg,Zuid-Nederland,onstreet,onstreet,0,,0,,0,1
65,"Woonwerkverkeer J.F. Kennedybrug",https://npropendata.rdw.nl/parkingdata/v2/static/066a09cb-8db4-458d-97d1-d5d09287eb0a,,0,066a09cb-8db4-458d-97d1-d5d09287eb0a,50.8437339106417,5.69639805968782,Maastricht,nl,Limburg,Zuid-Nederland,onstreet,onstreet,0,,0,,0,0
66,"P+R Europark, Winterswijk (Winterswijk)",https://npropendata.rdw.nl/parkingdata/v2/static/12ca11d9-6d0e-49ec-8200-4704c7bdd7ea,,0,12ca11d9-6d0e-49ec-8200-4704c7bdd7ea,,,,,,,bad,"park and ride",0,,0,,0,1
67,"Spaarne Gasthuis",https://npropendata.rdw.nl/parkingdata/v2/static/a78cd3d6-ec05-45b3-ae49-33cf49f12bfb,https://npropendata.rdw.nl/parkingdata/v2/dynamic/a78cd3d6-ec05-45b3-ae49-33cf49f12bfb,1,a78cd3d6-ec05-45b3-ae49-33cf49f12bfb,52.3241234,4.655274,Haarlemmermeer,nl,Noord-Holland,Noordwest-Nederland,average,garage,1,961,0,200.0,1,0
68,"Gebiedscode Villaprk1 tbv mobiel parkeren",https://npropendata.rdw.nl/parkingdata/v2/static/c7a21cf3-8d04-4564-ad19-c15db7660ba7,,0,c7a21cf3-8d04-4564-ad19-c15db7660ba7,50.8379310814315,5.68093335427998,Maastricht,nl,Limburg,Zuid-Nederland,onstreet,onstreet,0,,0,,0,1
69,"Parkeergarage Fonteyne (Vlissingen)",https://npropendata.rdw.nl/parkingdata/v2/static/34a37cf7-aeab-491a-b979-02639d8252ce,,0,34a37cf7-aeab-491a-b979-02639d8252ce,,,,,,,bad,garage,0,,0,,0,1
70,"P+R Mayweg",https://npropendata.rdw.nl/parkingdata/v2/static/cde46750-b153-46b7-8282-eae2c4a06d2c,https://npropendata.rdw.nl/parkingdata/v2/dynamic/cde46750-b153-46b7-8282-eae2c4a06d2c,1,cde46750-b153-46b7-8282-eae2c4a06d2c,51.68815,5.293693,"'s-Hertogenbosch",nl,Noord-Brabant,Zuid-Nederland,average,garage,1,817,0,210.0,1,0
71,"Zone 331",https://npropendata.rdw.nl/parkingdata/v2/static/75da45af-dcd1-4526-b9fe-2b607d3d19f5,,0,75da45af-dcd1-4526-b9fe-2b607d3d19f5,51.9003817318054,4.49791779382981,Rotterdam,nl,Zuid-Holland,Zuidwest-Nederland,onstreet,onstreet,0,,0,,0,1
72,"De Opgang",https://npropendata.rdw.nl/parkingdata/v2/static/da023489-10f8-4e80-898a-c0c9838a0b10,,0,da023489-10f8-4e80-898a-c0c9838a0b10,53.1027273850614,6.09953547955142,Smallingerland,nl,"Fryslân",Noord-Nederland,onstreet,onstreet,0,,0,,0,1
73,Hermitage,https://npropendata.rdw.nl/parkingdata/v2/static/6f0c95e1-3ce6-4795-ac53-3a125abb66d6,https://npropendata.rdw.nl/parkingdata/v2/dynamic/6f0c95e1-3ce6-4795-ac53-3a125abb66d6,1,6f0c95e1-3ce6-4795-ac53-3a125abb66d6,52.43778,4.816678,Zaanstad,nl,Noord-Holland,Noordwest-Nederland,average,garage,1,895,0,200.0,1,0
74,"P+R Gouda Goverwelle (Gouda)",https://npropendata.rdw.nl/parkingdata/v2/static/dbc16752-ef47-4699-9fe0-549b2a6929e2,,0,dbc16752-ef47-4699-9fe0-549b2a6929e2,52.014655,4.741305,Goverwelle,nl,Zuid-Holland,Zuidwest-Nederland,average,"park and ride",1,120,0,0.0,1,1
75,"BZ Noorderhavendijk",https://npropendata.rdw.nl/parkingdata/v2/static/8e3ca47a-0b79-44a1-a390-ffa602354606,,0,8e3ca47a-0b79-44a1-a390-ffa602354606,52.7058409392024,5.29366139601836,Enkhuizen,nl,Noord-Holland,Noordwest-Nederland,onstreet,onstreet,0,,0,,0,1
76,"Molenstraat- Oost 1",https://npropendata.rdw.nl/parkingdata/v2/static/68131d8a-0903-4df9-a7b4-4e28fe9361d6,,0,68131d8a-0903-4df9-a7b4-4e28fe9361d6,51.4785080625351,5.66438657630206,Helmond,nl,Noord-Brabant,Zuid-Nederland,onstreet,onstreet,0,,0,,0,1
77,"Parkeergarage Schouwburg (Tilburg)",https://npropendata.rdw.nl/parkingdata/v2/static/1319b928-f405-4ee3-8c33-1e932e3156a4,http://opendata.technolution.nl/opendata/parkingdata/v1/dynamic/2d60fb96-10a3-444b-a2c9-1d93a3c893f1,0,1319b928-f405-4ee3-8c33-1e932e3156a4,51.554213,5.081408,Tilburg,nl,Noord-Brabant,Zuid-Nederland,good,garage,1,540,1,1.9,1,1
78,"Centrum Haren",https://npropendata.rdw.nl/parkingdata/v2/static/9eef7ad6-b953-4acf-95b4-28646a6b38b2,,0,9eef7ad6-b953-4acf-95b4-28646a6b38b2,53.1727607788328,6.60407875305587,"Haren Gn",nl,Groningen,Noord-Nederland,onstreet,onstreet,0,,0,,0,1
79,"Carpool Warmenhuizen (Oudkarspel)",https://npropendata.rdw.nl/parkingdata/v2/static/453fc4d9-ce4d-4cee-9cd8-2bace44636cc,,0,453fc4d9-ce4d-4cee-9cd8-2bace44636cc,52.719373,4.773131,Langedijk,nl,Noord-Holland,Noordwest-Nederland,average,carpool,1,10,0,0.0,1,1
80,"T13B_U01 10c Rijnstraat_1",https://npropendata.rdw.nl/parkingdata/v2/static/55c2f2f0-4608-46cf-bf28-976bcdc914ea,,0,55c2f2f0-4608-46cf-bf28-976bcdc914ea,52.3476279947126,4.90472910255247,Amsterdam,nl,Noord-Holland,Noordwest-Nederland,onstreet,onstreet,0,,0,,0,1
81,"P+R Station Vathorst (Amersfoort)",https://npropendata.rdw.nl/parkingdata/v2/static/e76d0e73-7061-466c-986d-a1a00ca2f38e,,0,e76d0e73-7061-466c-986d-a1a00ca2f38e,52.1921,5.434704,Amersfoort,nl,Utrecht,Noordwest-Nederland,good,"park and ride",1,101,1,0.0,1,1
82,"Vergunningparkeren Schil",https://npropendata.rdw.nl/parkingdata/v2/static/d7434a10-d397-4bbc-8ef9-d298cac484c7,,0,d7434a10-d397-4bbc-8ef9-d298cac484c7,52.2234444008752,5.16497392295951,Hilversum,nl,Noord-Holland,Noordwest-Nederland,onstreet,onstreet,0,,0,,0,1
83,"P+R Station Uithuizermeeden (Uithuizermeeden)",https://npropendata.rdw.nl/parkingdata/v2/static/e1f5c8b6-e8d2-4a2e-bbea-c5a6626fae4f,,0,e1f5c8b6-e8d2-4a2e-bbea-c5a6626fae4f,53.414134,6.720705,Eemsmond,nl,Groningen,Noord-Nederland,average,"park and ride",1,30,0,0.0,1,1
